availability,brand,category,color,currency,date,discount,name,picture,price,productid,url
in stock,Bottega Veneta,Shoulder Bag,Blue,€,2022-12-10,,Bottega Veneta Turquoise Medium Hobo,https://luxurybyho.com/wp-content/uploads/2021/12/IMG_6165.jpg,748.00,bottega_veneta_turquoise_medium_hobo_20221210,https://luxurybyho.com/shop/bottega-veneta-turquoise-medium-hobo/
in stock,Cartier,Accessories,White,€,2022-12-10,,Cartier 18K White Gold 47 Diamond Ring,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_4520-3.jpg,748.00,cartier_18k_white_gold_47_diamond_ring_20221210,https://luxurybyho.com/shop/cartier-18k-white-gold-47-diamond-ring/
in stock,Proenza Schouler,Crossbody Bag,Orange,€,2022-12-10,,Proenza Schouler Orange PS1,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_4791-4.jpg,761.50,proenza_schouler_orange_ps1_20221210,https://luxurybyho.com/shop/proenza-schouler-orange-ps1/
in stock,Goyard,Tote Bag,Grey,€,2022-12-10,,Goyard Grey Marquises Tote Bag,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_2900-2-scaled.jpg,1224.00,goyard_grey_marquises_tote_bag_20221210,https://luxurybyho.com/shop/goyard-grey-marquises-tote-bag/
in stock,Bottega Veneta,Shoulder Bag,Purple,€,2022-12-10,,Bottega Veneta Medium Light Purple Part-Snake Hobo,https://luxurybyho.com/wp-content/uploads/2022/01/IMG_1128-3.jpg,516.50,bottega_veneta_medium_light_purple_part_snake_hobo_20221210,https://luxurybyho.com/shop/bottega-veneta-medium-light-purple-part-snake-hobo/
in stock,Custom Jewellery,Accessories,Silver,€,2022-12-10,,Diamond Heart Necklace,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_3144-2-scaled.jpg,1496.50,diamond_heart_necklace_20221210,https://luxurybyho.com/shop/diamond-heart-necklace/
in stock,Cartier,Accessories,Pink,€,2022-12-10,,Cartier Rosegold Thin Love Bracelet 17,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_6365-3.jpg,3809.50,cartier_rosegold_thin_love_bracelet_17_20221210,https://luxurybyho.com/shop/cartier-rosegold-thin-love-bracelet-17/
in stock,Prada,Shoulder Bag,Blue,€,2022-12-10,,Prada Small Dark Blue Tessuto,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_5759-3-scaled-e1669324119457.jpg,612.00,prada_small_dark_blue_tessuto_20221210,https://luxurybyho.com/shop/prada-small-dark-blue-tessuto/
in stock,Fendi,Shoulder Bag,Beige,€,2022-12-10,,Fendi Cheetah Mamma,https://luxurybyho.com/wp-content/uploads/2022/07/IMG_5093-3.jpg,516.50,fendi_cheetah_mamma_5_20221210,https://luxurybyho.com/shop/fendi-cheetah-mamma-5/
in stock,Louis Vuitton,Weekend Bag,Brown,€,2022-12-10,,Louis Vuitton 55 Keepall,https://luxurybyho.com/wp-content/uploads/2022/07/IMG_8175-3.jpg,516.50,louis_vuitton_55_keepall_2_20221210,https://luxurybyho.com/shop/louis-vuitton-55-keepall-2/
in stock,Bottega Veneta,Briefcase,Orange,€,2022-12-10,,Bottega Veneta Orange Briefcase,https://luxurybyho.com/wp-content/uploads/2022/02/IMG_5231-2.jpg,530.00,bottega_veneta_orange_briefcase_20221210,https://luxurybyho.com/shop/bottega-veneta-orange-briefcase/
in stock,Louis Vuitton,Shoulder Bag,Brown,€,2022-12-10,,Louis Vuitton Pochette,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_4974-6-scaled.jpg,516.50,louis_vuitton_pochette_11_20221210,https://luxurybyho.com/shop/louis-vuitton-pochette-11/
